YEAR,LocationAbbr,TopicDesc,MeasureDesc,Response,Resposta,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Education,GeoLocation,StratificationID1,StratificationID4,SubMeasureID,DisplayOrder
2004,OH,Cigarette Use (Youth),Smoking Status,Ever,32.2,3.2,25.8,38.5,1377,Overall,Middle School,"(40.060210141, -82.404260056)",1GEN,1EDU,YTS08,8
2008,AL,Cigarette Use (Youth),Smoking Status,Ever,47.8,2.9,42.1,53.5,654,Female,High School,"(32.840571122, -86.631860762)",3GEN,2EDU,YTS08,8
2015,WV,Smokeless Tobacco Use (Youth),User Status,Frequent,12.7,1.9,9.0,16.4,781,Male,High School,"(38.665510202, -80.712640135)",2GEN,2EDU,YTS12,12
2005,IL,Cigarette Use (Youth),Smoking Status,Ever,28.5,2.2,24.2,32.8,1323,Overall,Middle School,"(40.485010283, -88.997710178)",1GEN,1EDU,YTS08,8
2005,CT,Smokeless Tobacco Use (Youth),User Status,Ever,20.5,2.3,16.0,25.1,973,Male,High School,"(41.56266102, -72.649840952)",2GEN,2EDU,YTS11,11
2009,CT,Smokeless Tobacco Use (Youth),User Status,Frequent,1.2,0.3,0.6,1.8,2214,Overall,High School,"(41.56266102, -72.649840952)",1GEN,2EDU,YTS12,12
2001,ID,Smokeless Tobacco Use (Youth),User Status,Ever,15.1,1.2,12.7,17.6,926,Male,Middle School,"(43.682630005, -114.363730042)",2GEN,1EDU,YTS11,11
2004,VT,Cigarette Use (Youth),Smoking Status,Frequent,2.5,0.7,1.3,3.8,847,Male,Middle School,"(43.625381239, -72.517640791)",2GEN,1EDU,YTS09,9
2007,CT,Cigarette Use (Youth),Smoking Status,Ever,13.0,1.7,9.6,16.4,2184,Overall,Middle School,"(41.56266102, -72.649840952)",1GEN,1EDU,YTS08,8
2006,PA,Cigarette Use (Youth),Smoking Status,Ever,42.4,2.6,37.3,47.5,826,Female,High School,"(40.793730152, -77.860700294)",3GEN,2EDU,YTS08,8
2015,LA,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,75.3,9.8,56.0,94.6,55,Overall,Middle School,"(31.312660644, -92.445680071)",1GEN,1EDU,YTS04,4
2008,PA,Cigarette Use (Youth),Smoking Status,Frequent,1.0,0.3,0.5,1.5,1184,Male,Middle School,"(40.793730152, -77.860700294)",2GEN,1EDU,YTS09,9
2002,KY,Cigarette Use (Youth),Smoking Status,Ever,44.4,2.2,40.0,48.7,723,Male,Middle School,"(37.645970271, -84.774971048)",2GEN,1EDU,YTS08,8
2006,PA,Smokeless Tobacco Use (Youth),User Status,Ever,6.2,0.8,4.6,7.8,716,Female,Middle School,"(40.793730152, -77.860700294)",3GEN,1EDU,YTS11,11
2003,UT,Smokeless Tobacco Use (Youth),User Status,Frequent,0.6,0.4,0.0,1.3,1222,Female,High School,"(39.360700171, -111.587130635)",3GEN,2EDU,YTS12,12
2008,MN,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Female,Middle School,"(46.355648736, -94.794200503)",3GEN,1EDU,YTS03,3
2009,LA,Smokeless Tobacco Use (Youth),User Status,Ever,26.6,3.2,20.4,32.8,484,Male,High School,"(31.312660644, -92.445680071)",2GEN,2EDU,YTS11,11
2004,DE,Smokeless Tobacco Use (Youth),User Status,Ever,9.4,0.7,7.9,10.8,2226,Overall,High School,"(39.008830667, -75.577741168)",1GEN,2EDU,YTS11,11
2011,CT,Smokeless Tobacco Use (Youth),User Status,Current,5.0,0.9,3.3,6.7,2084,Overall,High School,"(41.56266102, -72.649840952)",1GEN,2EDU,YTS10,10
2011,NH,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,41.2,4.0,33.4,49.0,185,Overall,High School,"(43.655950113, -71.50036092)",1GEN,2EDU,YTS01,1
2002,MA,Cigarette Use (Youth),Smoking Status,Frequent,9.8,1.4,7.2,12.5,813,Male,High School,"(42.27687047, -72.082690675)",2GEN,2EDU,YTS09,9
2005,IL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,45.5,2.7,40.3,50.7,144,Male,High School,"(40.485010283, -88.997710178)",2GEN,2EDU,YTS05,5
2010,AL,Cigarette Use (Youth),Smoking Status,Frequent,5.6,1.0,3.6,7.6,678,Female,High School,"(32.840571122, -86.631860762)",3GEN,2EDU,YTS09,9
