"Ano","Resposta","Tamanho_Amostra","Latitude","Longitude","Tabaco_Mascavel","Ja_fumou","Fuma_regularmente","Masculino","Ensino_Fund"
2008,47.8,654,32.840571122,-86.631860762,0,1,0,0,0
2015,12.7,781,38.665510202,-80.712640135,1,0,1,1,0
2005,20.5,973,41.56266102,-72.649840952,1,1,0,1,0
2001,15.1,926,43.682630005,-114.363730042,1,1,0,1,1
2004,2.5,847,43.625381239,-72.517640791,0,0,1,1,1
2006,42.4,826,40.793730152,-77.860700294,0,1,0,0,0
2008,1,1184,40.793730152,-77.860700294,0,0,1,1,1
2002,44.4,723,37.645970271,-84.774971048,0,1,0,1,1
2006,6.2,716,40.793730152,-77.860700294,1,1,0,0,1
2003,0.6,1222,39.360700171,-111.587130635,1,0,1,0,0
2009,26.6,484,31.312660644,-92.445680071,1,1,0,1,0
2002,9.8,813,42.27687047,-72.082690675,0,0,1,1,0
2010,5.6,678,32.840571122,-86.631860762,0,0,1,0,0
2002,8.7,611,44.393191174,-89.816370742,0,0,0,0,1
2007,12.4,757,43.655950113,-71.50036092,1,0,0,1,0
2006,0.6,947,44.393191174,-89.816370742,1,0,0,0,1
2010,2,1058,39.766910452,-86.149960194,1,1,0,0,1
2004,41.5,1290,32.745510099,-89.538030825,0,1,0,1,1
2007,6.8,1063,47.475319779,-100.118421049,0,0,0,0,1
2000,65.7,1587,39.008830667,-75.577741168,0,1,0,1,0
2011,45.3,973,47.475319779,-100.118421049,0,1,0,1,0
2002,3.2,1359,32.745510099,-89.538030825,1,0,1,1,1
2013,1.4,809,33.998821303,-81.045371207,0,0,1,1,1
2013,3.2,1038,21.304850435,-157.857749403,1,1,0,0,1
2013,24.8,1022,38.665510202,-80.712640135,0,1,0,1,1
2008,41.2,628,42.469400913,-93.816490556,0,1,0,0,0
2007,1.9,2036,39.360700171,-111.587130635,1,0,1,1,0
2003,7.2,1058,41.708280193,-71.522470314,1,1,0,0,0
2000,36.5,970,34.86597028,-111.763811277,0,1,0,0,1
2002,1.9,957,42.27687047,-72.082690675,0,0,1,1,1
2000,1.9,5309,35.68094058,-85.774490914,1,0,0,0,1
2016,1.5,785,32.745510099,-89.538030825,1,0,0,0,0
2002,1.7,699,38.3477403,-98.200781227,0,0,1,0,1
2009,4.5,995,32.839681093,-83.627580346,0,0,1,0,0
2015,0.2,1286,40.793730152,-77.860700294,0,0,1,1,1
2012,15.9,889,40.130570048,-74.273691288,1,1,0,1,0
2005,25.6,544,47.475319779,-100.118421049,0,1,0,0,1
2013,0.4,893,32.745510099,-89.538030825,0,0,1,0,1
2001,4.8,922,43.682630005,-114.363730042,1,0,0,1,1
2001,2.1,1883,40.130570048,-74.273691288,1,0,1,1,0
2009,9.6,890,35.472031356,-97.521070214,1,0,1,1,0
2000,5.9,1434,37.638640123,-120.999999538,1,1,0,0,0
2000,14.9,853,38.665510202,-80.712640135,1,0,0,1,1
1999,2.8,1029,35.472031356,-97.521070214,1,0,1,1,1
2005,2.6,1059,34.748650124,-92.274490743,1,0,0,0,1
2002,1.2,779,40.060210141,-82.404260056,1,0,1,1,1
2008,1.5,734,44.393191174,-89.816370742,0,0,1,0,1
2002,10.8,1060,32.745510099,-89.538030825,0,0,1,1,0
2004,2.6,737,44.393191174,-89.816370742,1,0,0,0,0
2005,28.9,653,38.665510202,-80.712640135,0,0,0,0,0
2000,0.2,11015,39.290580964,-76.609260111,1,0,1,0,1
2005,0.9,653,38.665510202,-80.712640135,1,0,1,0,0
2010,21.5,800,32.745510099,-89.538030825,0,0,0,1,0
2003,0.1,1047,34.86597028,-111.763811277,1,0,1,0,1
2002,0.2,1575,41.56266102,-72.649840952,1,0,1,0,0
2004,1,1538,35.466220975,-79.159250463,1,0,1,1,1
2004,24.3,676,32.840571122,-86.631860762,1,1,0,1,1
2009,9.8,871,35.472031356,-97.521070214,1,1,0,0,0
2001,2,6205,45.254228894001,-68.985031336,0,0,1,0,1
2013,49.3,833,38.665510202,-80.712640135,0,1,0,1,0
2006,4.8,625,40.485010283,-88.997710178,1,0,0,0,1
2003,1.8,813,34.86597028,-111.763811277,1,0,0,0,0
2003,6.1,1311,39.360700171,-111.587130635,1,1,0,1,1
2011,8.9,755,33.998821303,-81.045371207,1,0,0,1,1
2000,39.3,1549,41.641040988001,-99.365720623,1,1,0,1,0
2005,0.4,1062,41.56266102,-72.649840952,1,0,1,1,1
2010,5.5,773,40.060210141,-82.404260056,1,0,0,1,1
2012,5.5,1057,39.008830667,-75.577741168,0,0,1,1,0
2000,42.3,1029,31.827240407,-99.426770206,0,1,0,0,1
2007,4.3,959,41.56266102,-72.649840952,1,1,0,0,0
2004,0.3,1194,40.130570048,-74.273691288,1,0,1,0,0
2011,1.3,986,47.475319779,-100.118421049,1,0,1,1,1
2010,1.9,1082,39.008830667,-75.577741168,1,1,0,0,1
2016,0.4,1273,35.472031356,-97.521070214,1,0,1,0,1
2002,7.6,4239,28.932040377,-81.928960539,0,0,1,1,0
2011,4.1,659,21.304850435,-157.857749403,1,1,0,0,0
2015,12,822,38.635790776,-92.566300053,0,1,0,1,1
2006,24,586,40.485010283,-88.997710178,0,1,0,0,1
2007,4.6,775,37.542680674,-78.457890463,0,0,0,0,1
2000,19.3,1590,39.008830667,-75.577741168,1,1,0,1,0
2002,22.8,1214,39.008830667,-75.577741168,1,1,0,1,0
2005,7.5,1155,41.56266102,-72.649840952,0,0,1,0,0
2001,28.1,781,41.708280193,-71.522470314,0,1,0,1,1
2010,55.8,1118,34.748650124,-92.274490743,0,1,0,1,0
2009,15.3,989,37.542680674,-78.457890463,0,1,0,0,1
2011,2.3,2557,35.466220975,-79.159250463,1,0,0,0,0
2000,15.2,779,38.3477403,-98.200781227,1,0,0,1,0
2006,11.1,1655,39.766910452,-86.149960194,0,0,1,1,0
2015,4.6,916,47.475319779,-100.118421049,1,1,0,0,1
2002,0.9,775,40.485010283,-88.997710178,1,0,1,1,1
2000,61.9,1028,41.56266102,-72.649840952,0,1,0,0,0
2007,12.2,582,38.665510202,-80.712640135,1,0,1,1,0
2003,39,5479,32.745510099,-89.538030825,0,1,0,1,1
2010,0.3,1280,40.130570048,-74.273691288,1,0,1,0,0
2002,0.9,1232,39.008830667,-75.577741168,1,0,0,0,0
2004,4.6,859,43.625381239,-72.517640791,1,1,0,0,1
2009,4.4,1024,32.839681093,-83.627580346,0,0,0,0,1
2002,52.2,1546,41.56266102,-72.649840952,0,1,0,0,0
1999,1.8,573,38.3477403,-98.200781227,1,0,1,1,1
2013,2.1,1222,39.766910452,-86.149960194,1,0,0,1,1
2006,15.4,2097,40.130570048,-74.273691288,0,0,0,0,0
2011,1.5,1021,47.475319779,-100.118421049,0,0,1,0,1
2000,9.4,761,34.748650124,-92.274490743,1,1,0,0,1
2015,3.8,837,38.635790776,-92.566300053,1,0,0,1,1
2013,3.6,787,38.665510202,-80.712640135,1,0,0,0,0
2002,8.2,1017,35.472031356,-97.521070214,1,1,0,0,1
